Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Planet_Radius,Planet_Mass,Tday,Temp_equilibrium,log10g_p,Period,Transit_Duration,K_mag,Distance,Temp_stellar_eff,log10g_s,Transit_Flag,Catalog_Name
Kepler-1471 b,0.0,0.0,0.002,0.13,0.009655,1465.0,1232.0,3.178,3.639,2.213,13.6,1059.0,5660.0,4.48,True,exoplanets.org
Kepler-1472 b,0.0,0.0,0.002,0.17,0.014034,817.0,687.0,3.08,38.1313,6.3449,13.3,1269.0,6159.0,4.31,True,exoplanets.org
Kepler-265 c,0.0,0.0,0.004,0.23,0.021278,975.0,820.0,2.981,17.0289,4.732,13.9,,5835.0,4.326,True,exoplanets.org
Kepler-1473 b,0.0,0.0,0.003,0.11,0.005361,1047.0,880.0,3.073,14.4274,3.8904,12.0,625.0,6046.0,4.4,True,exoplanets.org
Kepler-1474 b,0.0,0.0,0.003,0.19,0.016172,735.0,618.0,3.032,36.4333,4.213,13.6,1214.0,5870.0,4.42,True,exoplanets.org
Kepler-1475 b,0.0,0.0,0.003,0.26,0.025609,644.0,542.0,2.969,82.1774,9.1649,13.9,1714.0,6214.0,4.29,True,exoplanets.org
Kepler-253 d,0.0,0.0,0.008,0.28,0.029992,720.0,605.0,2.968,18.1199,4.29,13.5,,5208.0,4.595,True,exoplanets.org
Kepler-1476 b,0.0,0.0,0.002,0.15,0.012375,1046.0,879.0,3.14,10.3586,2.574,13.8,1218.0,5663.0,4.47,True,exoplanets.org
Kepler-1477 b,0.0,0.0,0.003,0.1,0.005187,845.0,710.0,3.067,11.5553,2.7989,12.6,525.0,5100.0,4.58,True,exoplanets.org
Kepler-1478 b,0.0,0.0,0.002,0.15,0.01275,834.0,701.0,3.125,26.0841,6.725,13.9,1405.0,5904.0,4.41,True,exoplanets.org
Kepler-147 b,0.0,0.0,0.002,0.14,0.012575,1281.0,1077.0,3.223,12.6106,4.448,12.4,,6012.0,4.182,True,exoplanets.org
Kepler-1479 b,0.0,0.0,0.004,0.16,0.013455,964.0,811.0,3.099,14.5326,2.4079,12.3,619.0,5796.0,4.45,True,exoplanets.org
Kepler-411 c,0.0,0.005,0.042,0.29,0.032084,940.0,791.0,2.97,7.8344,2.7856,10.1,0.0,4974.0,4.54,True,exoplanets.org
Kepler-412 b,0.069,0.032,0.018,1.32,0.940391,2172.0,1826.0,3.125,1.7209,2.077,13.8,1056.0,5750.0,4.3,True,exoplanets.org
Kepler-80 d,0.0,0.001,0.008,0.16,0.012844,1037.0,872.0,3.121,3.0722,1.989,12.3,,4613.0,4.69,True,exoplanets.org
Kepler-1480 b,0.0,0.0,0.004,0.15,0.012375,695.0,585.0,3.14,22.1268,3.6859,12.6,540.0,5156.0,4.56,True,exoplanets.org
Kepler-1481 b,0.0,0.0,0.004,0.11,0.006093,997.0,839.0,3.096,5.9422,2.2737,12.6,493.0,4908.0,4.6,True,exoplanets.org
Kepler-1482 b,0.0,0.0,0.004,0.09,0.003009,895.0,752.0,2.964,12.2538,2.213,12.0,442.0,5381.0,4.54,True,exoplanets.org
Kepler-148 b,0.001,0.001,0.004,0.16,0.013261,1659.0,1395.0,3.105,1.7294,1.757,13.4,,5272.0,4.546,True,exoplanets.org
Kepler-1483 b,0.0,0.0,0.002,0.14,0.012426,1396.0,1174.0,3.221,9.5085,4.381,13.1,1327.0,6337.0,4.24,True,exoplanets.org
Kepler-1484 b,0.0,0.0,0.004,0.19,0.015673,728.0,612.0,3.041,30.4549,6.143,13.6,1095.0,5730.0,4.49,True,exoplanets.org
Kepler-1485 b,0.0,0.0,0.004,0.13,0.010987,956.0,804.0,3.201,19.9158,6.1541,11.7,550.0,6087.0,4.39,True,exoplanets.org
Kepler-263 b,0.0,0.0,0.007,0.24,0.021808,749.0,630.0,2.979,16.5681,4.143,13.6,,5265.0,4.576,True,exoplanets.org
Kepler-1486 b,0.0,0.0,0.003,0.21,0.017687,672.0,565.0,3.01,54.6496,8.405,13.9,1465.0,5965.0,4.38,True,exoplanets.org
Kepler-1487 b,0.001,0.001,0.005,0.19,0.01587,1669.0,1403.0,3.037,7.3195,4.8391,12.3,1094.0,6541.0,4.16,True,exoplanets.org
Kepler-1488 b,0.0,0.0,0.005,0.17,0.013699,792.0,666.0,3.091,39.819,10.7981,11.6,618.0,5820.0,4.22,True,exoplanets.org
Kepler-254 d,0.0,0.0,0.004,0.22,0.019665,876.0,737.0,2.991,18.7465,3.961,14.3,,5957.0,4.524,True,exoplanets.org
Kepler-1489 b,0.0,0.0,0.003,0.16,0.013058,511.0,430.0,3.113,82.2948,7.009,13.2,870.0,5655.0,4.51,True,exoplanets.org
Kepler-148 d,,,,0.77,0.428344,,,3.249,51.8469,4.7788,13.4,0.0,5272.0,4.55,True,exoplanets.org
Kepler-1490 b,0.0,0.0,0.005,0.27,0.027521,474.0,399.0,2.968,92.4363,5.7089,13.6,968.0,5515.0,4.52,True,exoplanets.org
Kepler-275 d,0.0,0.0,0.004,0.3,0.033307,902.0,758.0,2.971,35.6761,7.634,14.0,,6165.0,4.229,True,exoplanets.org
Kepler-1491 b,0.0,0.0,0.002,0.14,0.01213,915.0,769.0,3.217,16.5862,6.899,13.9,1312.0,5728.0,4.45,True,exoplanets.org
Kepler-1492 b,0.0,0.0,0.004,0.13,0.011549,668.0,562.0,3.209,16.7526,3.1841,12.2,371.0,4712.0,4.62,True,exoplanets.org
Kepler-1493 b,0.0,0.0,0.003,0.13,0.009655,1094.0,920.0,3.178,15.0218,4.5571,11.5,572.0,5863.0,4.24,True,exoplanets.org
Kepler-257 c,0.001,0.003,0.011,0.48,0.097543,1153.0,969.0,3.016,6.5815,3.289,13.4,,5180.0,4.36,True,exoplanets.org
Kepler-1494 b,0.0,0.0,0.006,0.27,0.028127,503.0,423.0,2.968,91.0805,9.6504,13.5,1059.0,5659.0,4.48,True,exoplanets.org
Kepler-1495 b,0.0,0.0,0.004,0.26,0.025793,550.0,463.0,2.969,85.2733,9.462,13.8,1307.0,5831.0,4.42,True,exoplanets.org
Kepler-1496 b,0.0,0.0,0.003,0.2,0.016692,691.0,581.0,3.023,64.6588,7.549,13.2,1293.0,6182.0,4.29,True,exoplanets.org
Kepler-149 b,0.0,0.001,0.013,0.38,0.058188,698.0,587.0,3.01,29.1989,5.074,12.2,,5381.0,4.465,True,exoplanets.org
Kepler-1497 b,0.0,0.0,0.003,0.15,0.012301,1107.0,931.0,3.144,8.742,4.297,13.7,1122.0,5675.0,4.47,True,exoplanets.org
Kepler-1498 b,0.0,0.0,0.002,0.12,0.007968,546.0,459.0,3.144,48.0514,7.638,13.2,740.0,5256.0,4.56,True,exoplanets.org
Kepler-1499 b,0.0,0.0,0.005,0.11,0.005361,539.0,453.0,3.073,44.2008,4.6781,11.5,310.0,5097.0,4.58,True,exoplanets.org
Kepler-265 b,0.0,0.0,0.003,0.17,0.013694,1321.0,1111.0,3.091,6.8463,3.59,13.9,,5835.0,4.326,True,exoplanets.org
Kepler-14 b,0.047,0.039,0.003,1.14,8.40643,1845.0,1552.0,4.212,6.7901,6.2184,11.0,980.0,6395.0,3.994,True,exoplanets.org
Kepler-1500 b,0.0,0.0,0.003,0.11,0.005538,970.0,815.0,3.079,15.033,5.4161,13.0,904.0,5845.0,4.44,True,exoplanets.org
Kepler-150 b,0.0,0.0,0.003,0.11,0.006387,1463.0,1230.0,3.105,3.4281,2.309,13.4,,5560.0,4.466,True,exoplanets.org
Kepler-150 c,0.0,0.001,0.009,0.33,0.042229,1133.0,953.0,2.985,7.382,3.124,13.4,,5560.0,4.466,True,exoplanets.org
Kepler-1501 b,0.0,0.0,0.003,0.14,0.011654,1155.0,972.0,3.175,14.5565,4.5696,12.4,888.0,6229.0,4.28,True,exoplanets.org
Kepler-1502 b,0.0,0.0,0.004,0.28,0.030254,971.0,817.0,2.968,41.7084,8.401,12.9,1540.0,6666.0,4.13,True,exoplanets.org
Kepler-1503 b,0.0,0.0,0.004,0.2,0.017236,407.0,342.0,3.016,96.1699,7.471,13.8,850.0,5069.0,4.59,True,exoplanets.org
Kepler-150 e,0.0,0.0,0.007,0.28,0.029031,704.0,592.0,2.968,30.8266,5.455,13.4,,5560.0,4.466,True,exoplanets.org
Kepler-1504 b,0.0,0.0,0.004,0.19,0.01587,469.0,395.0,3.037,82.304,13.843,13.8,1029.0,5393.0,4.55,True,exoplanets.org
Kepler-1505 b,0.0,0.0,0.006,0.08,0.002254,697.0,586.0,2.909,30.8609,4.109,11.4,359.0,5686.0,4.54,True,exoplanets.org
Kepler-1506 b,0.0,0.0,0.002,0.12,0.007744,937.0,788.0,3.139,14.0329,6.8441,14.1,1318.0,5676.0,4.49,True,exoplanets.org
Kepler-238 d,0.0,0.001,0.005,0.27,0.028104,1190.0,1001.0,2.968,13.2335,6.642,13.5,,5751.0,4.194,True,exoplanets.org
Kepler-1507 b,0.0,0.0,0.006,0.07,0.001573,825.0,694.0,2.841,16.0506,2.939,11.4,342.0,5410.0,4.53,True,exoplanets.org
Kepler-1508 b,0.0,0.0,0.003,0.12,0.007968,992.0,834.0,3.144,20.7057,9.029,12.6,892.0,6158.0,4.32,True,exoplanets.org
Kepler-1509 b,0.0,0.0,0.003,0.17,0.013617,801.0,673.0,3.093,25.4338,6.4241,13.9,1277.0,5780.0,4.45,True,exoplanets.org
Kepler-259 b,0.0,0.001,0.007,0.25,0.023649,1147.0,964.0,2.973,8.1153,2.954,13.6,,5938.0,4.532,True,exoplanets.org
Kepler-1510 b,0.0,0.0,0.004,0.3,0.034031,635.0,534.0,2.972,84.7039,10.447,13.7,1615.0,6200.0,4.29,True,exoplanets.org
Kepler-1511 b,0.0,0.0,0.003,0.15,0.012449,963.0,810.0,3.137,23.2383,8.191,12.5,897.0,6064.0,4.28,True,exoplanets.org
Kepler-1512 b,0.0,0.0,0.006,0.1,0.005187,566.0,476.0,3.067,20.3597,1.9164,10.6,162.0,4372.0,4.64,True,exoplanets.org
Kepler-151 b,0.0,0.001,0.008,0.27,0.027922,822.0,691.0,2.968,15.229,2.645,12.9,,5460.0,4.555,True,exoplanets.org
Kepler-1513 b,0.0,0.0,0.03,0.76,0.249782,417.0,351.0,3.036,160.8847,10.7536,11.3,384.0,5617.0,4.46,True,exoplanets.org
Kepler-1514 b,0.0,0.001,0.027,1.05,1.0,455.0,383.0,3.348,217.8318,21.3037,10.7,379.0,6251.0,4.35,True,exoplanets.org
Kepler-1515 b,0.0,0.001,0.024,0.85,0.383964,506.0,426.0,3.118,214.3114,16.1734,10.9,504.0,6511.0,4.26,True,exoplanets.org
Kepler-240 c,0.0,0.0,0.005,0.2,0.01651,879.0,739.0,3.026,7.9535,2.598,13.5,,4985.0,4.626,True,exoplanets.org
Kepler-1516 b,0.0,0.001,0.005,0.16,0.012903,1283.0,1079.0,3.119,7.2593,6.198,12.8,872.0,5904.0,4.4,True,exoplanets.org
Kepler-1517 b,0.026,0.015,0.01,0.87,0.696016,2098.0,1764.0,3.357,5.5461,2.3929,11.3,869.0,7010.0,4.06,True,exoplanets.org
Kepler-1518 b,0.002,0.001,0.006,0.27,0.027721,2076.0,1746.0,2.968,5.1118,2.9592,12.1,1140.0,6846.0,4.08,True,exoplanets.org
Kepler-26 d,0.0,0.0,0.006,0.1,0.003712,910.0,766.0,3.004,3.5439,2.012,12.6,,4486.0,4.733,True,exoplanets.org
Kepler-1519 b,0.0,0.0,0.015,0.63,0.144903,358.0,301.0,2.957,240.7989,16.4419,13.2,858.0,5644.0,4.5,True,exoplanets.org
Kepler-1520 b,0.034,0.018,0.028,0.52,0.111491,1946.0,1637.0,3.018,0.6536,1.5399,13.3,636.0,4677.0,4.61,True,exoplanets.org
